# list of considered genomes \\
# containing 4098 genomes of which 1307 were selected as representants of one genus \\
genus & phylum & fasta \\
Altererythrobacter & Alphaproteobacteria & UP000034392\_1267766.fasta \\
Altererythrobacter & Alphaproteobacteria & UP000037643\_543877.fasta \\
Altererythrobacter & Alphaproteobacteria & UP000051125\_1736584.fasta \\
Altererythrobacter & Alphaproteobacteria & UP000057938\_361183.fasta \\
Altererythrobacter & Alphaproteobacteria & UP000092698\_645517.fasta \\
Altererythrobacter & Alphaproteobacteria & UP000092932\_692370.fasta \\
Alteromonas & Gammaproteobacteria & UP000000683\_715451.fasta \\
Alteromonas & Gammaproteobacteria & UP000056090\_589873.fasta \\
Alteromonas & Gammaproteobacteria & UP000175691\_1656094.fasta \\
Alteromonas & Gammaproteobacteria & UP000176037\_1856405.fasta \\
Alteromonas & Gammaproteobacteria & UP000183672\_1917158.fasta \\
Amantichitinum & Betaproteobacteria & UP000037939\_857265.fasta \\
Aminobacterium & Synergistaceae & UP000002366\_572547.fasta \\
Aminobacter & Synergistaceae & UP000051834\_1736420.fasta \\
Aminomonas & Synergistaceae & UP000005096\_584708.fasta \\
Ammonifex & Firmicutes & UP000002620\_429009.fasta \\
Amoebophilus & Bacteroidetes & UP000001227\_452471.fasta \\
Amphibacillus & Firmicutes & UP000006294\_698758.fasta \\
Amycolatopsis & Actinobacteria & UP000006138\_713604.fasta \\
Amycolatopsis & Actinobacteria & UP000013968\_1156913.fasta \\
Amycolatopsis & Actinobacteria & UP000054357\_592678.fasta \\
Amycolatopsis & Actinobacteria & UP000062973\_1068978.fasta \\
Anabaena & Cyanobacteria & UP000010101\_46234.fasta \\
Anabaena & Cyanobacteria & UP000010474\_272123.fasta \\
Anabaena & Cyanobacteria & UP000092097\_1710888.fasta \\
Anaerobacillus & Firmicutes & UP000035996\_157733.fasta \\
Anaerococcus & Firmicutes & UP000003821\_655811.fasta \\
Anaerococcus & Firmicutes & UP000005286\_879305.fasta \\
Anaerococcus & Firmicutes & UP000005984\_525254.fasta \\
Anaerocolumna & Firmicutes & UP000184386\_1121322.fasta \\
Anaerocolumna & Firmicutes & UP000184612\_1121345.fasta \\
Anaerofustis & Firmicutes & UP000005178\_445971.fasta \\
Anaeroglobus & Firmicutes & UP000005481\_861450.fasta \\
Anaerolinea & Chloroflexi & UP000008922\_926569.fasta \\
Anaerolinea & Chloroflexi & UP000064249\_167964.fasta \\
Anaeromyxobacter & Acidithiobacillia & UP000001935\_290397.fasta \\
Anaeromyxobacter & Acidithiobacillia & UP000006382\_404589.fasta \\
Anaeromyxobacter & Acidithiobacillia & UP000179107\_1797238.fasta \\
Anaerosphaera & Firmicutes & UP000184032\_1120995.fasta \\
Anaerosporobacter & Firmicutes & UP000184038\_1120996.fasta \\
Anaerosporomusa & Firmicutes & UP000076268\_1794912.fasta \\
Anaerostipes & Firmicutes & UP000008960\_649756.fasta \\
Anaerostipes & Firmicutes & UP000018135\_1262699.fasta \\
Anaerotruncus & Firmicutes & UP000003803\_445972.fasta \\
Anaerotruncus & Firmicutes & UP000014129\_1235835.fasta \\
Anaerotruncus & Firmicutes & UP000018024\_1262700.fasta \\
Anaerotruncus & Firmicutes & UP000018385\_1262703.fasta \\
Anaerovibrio & Firmicutes & UP000030993\_82374.fasta \\
Anaplasma & Alphaproteobacteria & UP000001943\_212042.fasta \\
Anaplasma & Alphaproteobacteria & UP000007307\_320483.fasta \\
Anditalea & Bacteroidetes & UP000027821\_1048983.fasta \\
Aneurinibacillus & Firmicutes & UP000037269\_47500.fasta \\
Aneurinibacillus & Firmicutes & UP000065566\_1450761.fasta \\
Angustibacter & Actinobacteria & UP000051170\_1736539.fasta \\
Anoxybacillus & Firmicutes & UP000000742\_491915.fasta \\
Anoxybacillus & Firmicutes & UP000030702\_1548750.fasta \\
Anoxybacillus & Firmicutes & UP000031249\_33934.fasta \\
Anoxybacillus & Firmicutes & UP000076753\_1490057.fasta \\
Anoxybacillus & Firmicutes & UP000076865\_294699.fasta \\
Anthococcus & Firmicutes & UP000178622\_1859473.fasta \\
Aphanizomenon & Cyanobacteria & UP000092382\_1710894.fasta \\
Apibacter & Bacteroidetes & UP000182761\_1586267.fasta \\
Aquabacterium & Betaproteobacteria & UP000029993\_1538295.fasta \\
Aquamicrobium & Alphaproteobacteria & UP000019849\_69279.fasta \\
Aquifex & Aquificae & UP000000798\_224324.fasta \\
Aquimarina & Bacteroidetes & UP000023541\_1317122.fasta \\
Aquimarina & Bacteroidetes & UP000076715\_1642818.fasta \\
Aquimarina & Bacteroidetes & UP000184432\_570521.fasta \\
Aquitalea & Betaproteobacteria & UP000033764\_332411.fasta \\
Arachidicoccus & Bacteroidetes & UP000078308\_1850526.fasta \\
Arcanobacterium & Actinobacteria & UP000000376\_644284.fasta \\
Arcanobacterium & Actinobacteria & UP000054502\_1219585.fasta \\
Archangium & Acidithiobacillia & UP000035579\_48.fasta \\
Arcobacter & Acidithiobacillia & UP000000939\_572480.fasta \\
Arcobacter & Acidithiobacillia & UP000001136\_367737.fasta \\
Arcobacter & Acidithiobacillia & UP000093159\_1935204.fasta \\
Arcticibacter & Bacteroidetes & UP000014174\_1150600.fasta \\
Ardenticatena & Chloroflexi & UP000037784\_872965.fasta \\
Arenibacter & Bacteroidetes & UP000095208\_1883406.fasta \\
Arenibacter & Bacteroidetes & UP000184231\_558155.fasta \\
Arenimonas & Gammaproteobacteria & UP000029085\_1121014.fasta \\
Arenimonas & Gammaproteobacteria & UP000029385\_1121015.fasta \\
Arenimonas & Gammaproteobacteria & UP000029391\_1121013.fasta \\
Arenimonas & Gammaproteobacteria & UP000029392\_1384054.fasta \\
Arenitalea & Bacteroidetes & UP000184396\_1178825.fasta \\
Aromatoleum & Betaproteobacteria & UP000006552\_76114.fasta \\
Arsenicicoccus & Actinobacteria & UP000065578\_1658671.fasta \\
Arsenophonus & Gammaproteobacteria & UP000069926\_634113.fasta \\
Arsukibacterium & Gammaproteobacteria & UP000034895\_1632859.fasta \\
Arthrobacter & Actinobacteria & UP000000754\_290399.fasta \\
Arthrobacter & Actinobacteria & UP000003828\_1077972.fasta \\
Arthrobacter & Actinobacteria & UP000010729\_1246476.fasta \\
Arthrobacter & Actinobacteria & UP000011189\_683150.fasta \\
Arthrobacter & Actinobacteria & UP000030301\_1494608.fasta \\
Arthrobacter & Actinobacteria & UP000031809\_1349820.fasta \\
Arthrobacter & Actinobacteria & UP000036861\_1676590.fasta \\
Arthrobacter & Actinobacteria & UP000037466\_1588022.fasta \\
Arthrobacter & Actinobacteria & UP000037645\_1652545.fasta \\
Arthrobacter & Actinobacteria & UP000051467\_1736232.fasta \\
Arthrobacter & Actinobacteria & UP000051715\_1736401.fasta \\
Arthrobacter & Actinobacteria & UP000051775\_1736395.fasta \\
Arthrobacter & Actinobacteria & UP000053253\_1681197.fasta \\
Arthrobacter & Actinobacteria & UP000053418\_1736303.fasta \\
Arthrobacter & Actinobacteria & UP000053496\_1736410.fasta \\
Arthrobacter & Actinobacteria & UP000054460\_1732020.fasta \\
Arthrobacter & Actinobacteria & UP000055883\_595593.fasta \\
Arthrobacter & Actinobacteria & UP000060353\_1588023.fasta \\
Arthrobacter & Actinobacteria & UP000060433\_1704044.fasta \\
Arthrobacter & Actinobacteria & UP000061839\_1618207.fasta \\
Arthrobacter & Actinobacteria & UP000062833\_656366.fasta \\
Arthrobacter & Actinobacteria & UP000063628\_1588020.fasta \\
Arthrobacter & Actinobacteria & UP000176251\_1920889.fasta \\
Arthromitus & Firmicutes & UP000001636\_1029718.fasta \\
Arthrospira & Cyanobacteria & UP000006803\_696747.fasta \\
Asaia & Alphaproteobacteria & UP000027583\_1382230.fasta \\
Asticcacaulis & Alphaproteobacteria & UP000001492\_573065.fasta \\
Asticcacaulis & Alphaproteobacteria & UP000006512\_715226.fasta \\
Asticcacaulis & Alphaproteobacteria & UP000017808\_1282363.fasta \\
Asticcacaulis & Alphaproteobacteria & UP000017826\_1282362.fasta \\
Asticcacaulis & Alphaproteobacteria & UP000017837\_1121022.fasta \\
Atelocyanobacterium & Cyanobacteria & UP000001405\_1453429.fasta \\
Atlantibacter & Gammaproteobacteria & UP000010297\_1115512.fasta \\
Atopobium & Actinobacteria & UP000000960\_521095.fasta \\
Atopobium & Actinobacteria & UP000004070\_553184.fasta \\
Atopobium & Actinobacteria & UP000004431\_866774.fasta \\
Atopobium & Actinobacteria & UP000005947\_525256.fasta \\
Atopobium & Actinobacteria & UP000012651\_997872.fasta \\
Atopobium & Actinobacteria & UP000070675\_1393034.fasta \\
Atopostipes & Firmicutes & UP000184128\_1121025.fasta \\
Aurantimonas & Alphaproteobacteria & UP000000321\_287752.fasta \\
Aurantimonas & Alphaproteobacteria & UP000051458\_1736378.fasta \\
Aureimonas & Alphaproteobacteria & UP000030826\_370622.fasta \\
Aureimonas & Alphaproteobacteria & UP000050862\_1736336.fasta \\
Aureimonas & Alphaproteobacteria & UP000051585\_1736381.fasta \\
Aureimonas & Alphaproteobacteria & UP000078529\_401562.fasta \\
Austwickia & Actinobacteria & UP000008495\_1184607.fasta \\
Avibacterium & Gammaproteobacteria & UP000015362\_1351754.fasta \\
Avibacterium & Gammaproteobacteria & UP000033614\_728.fasta \\
Azoarcus & Betaproteobacteria & UP000002588\_62928.fasta \\
Azoarcus & Betaproteobacteria & UP000007106\_748247.fasta \\
Azoarcus & Betaproteobacteria & UP000066621\_198107.fasta \\
Azobacteroides &  & UP000000723\_511995.fasta \\
Azorhizobium & Alphaproteobacteria & UP000000270\_438753.fasta \\
Azospirillum & Alphaproteobacteria & UP000005667\_862719.fasta \\
Azospirillum & Alphaproteobacteria & UP000007319\_1064539.fasta \\
Azospirillum & Alphaproteobacteria & UP000018110\_1262706.fasta \\
Azospirillum & Alphaproteobacteria & UP000018213\_1262705.fasta \\
Azospirillum & Alphaproteobacteria & UP000077405\_1226968.fasta \\
Azotobacter & Gammaproteobacteria & UP000002424\_322710.fasta \\
Bacillus & Firmicutes & UP000000594\_1392.fasta \\
Bacillus & Firmicutes & UP000000606\_279010.fasta \\
Bacillus & Firmicutes & UP000000935\_545693.fasta \\
Bacillus & Firmicutes & UP000001168\_66692.fasta \\
Bacillus & Firmicutes & UP000001258\_272558.fasta \\
Bacillus & Firmicutes & UP000001355\_315750.fasta \\
Bacillus & Firmicutes & UP000001384\_526988.fasta \\
Bacillus & Firmicutes & UP000001401\_649639.fasta \\
Bacillus & Firmicutes & UP000001417\_226900.fasta \\
Bacillus & Firmicutes & UP000001544\_398511.fasta \\
Bacillus & Firmicutes & UP000001570\_224308.fasta \\
Bacillus & Firmicutes & UP000002754\_1218173.fasta \\
Bacillus & Firmicutes & UP000003283\_665959.fasta \\
Bacillus & Firmicutes & UP000004417\_161544.fasta \\
Bacillus & Firmicutes & UP000006315\_1131731.fasta \\
Bacillus & Firmicutes & UP000006316\_1117379.fasta \\
Bacillus & Firmicutes & UP000009283\_345219.fasta \\
Bacillus & Firmicutes & UP000013300\_666686.fasta \\
Bacillus & Firmicutes & UP000017805\_1367477.fasta \\
Bacillus & Firmicutes & UP000018014\_1262708.fasta \\
Bacillus & Firmicutes & UP000018877\_1131730.fasta \\
Bacillus & Firmicutes & UP000018890\_1236970.fasta \\
Bacillus & Firmicutes & UP000018895\_1236971.fasta \\
Bacillus & Firmicutes & UP000018896\_1236973.fasta \\
Bacillus & Firmicutes & UP000019372\_1460639.fasta \\
Bacillus & Firmicutes & UP000019504\_1450694.fasta \\
Bacillus & Firmicutes & UP000027142\_1246626.fasta \\
Bacillus & Firmicutes & UP000027602\_796606.fasta \\
Bacillus & Firmicutes & UP000027822\_574376.fasta \\
Bacillus & Firmicutes & UP000028527\_1423321.fasta \\
Bacillus & Firmicutes & UP000028549\_246786.fasta \\
Bacillus & Firmicutes & UP000030588\_363870.fasta \\
Bacillus & Firmicutes & UP000030832\_333138.fasta \\
Bacillus & Firmicutes & UP000031014\_1321606.fasta \\
Bacillus & Firmicutes & UP000031100\_1565991.fasta \\
Bacillus & Firmicutes & UP000031376\_86668.fasta \\
Bacillus & Firmicutes & UP000031651\_98228.fasta \\
Bacillus & Firmicutes & UP000032512\_285983.fasta \\
Bacillus & Firmicutes & UP000034166\_1408103.fasta \\
Bacillus & Firmicutes & UP000035915\_79884.fasta \\
Bacillus & Firmicutes & UP000036045\_1397.fasta \\
Bacillus & Firmicutes & UP000036202\_135735.fasta \\
Bacillus & Firmicutes & UP000036353\_1479.fasta \\
Bacillus & Firmicutes & UP000036921\_1581033.fasta \\
Bacillus & Firmicutes & UP000036953\_1679169.fasta \\
Bacillus & Firmicutes & UP000037077\_1679168.fasta \\
Bacillus & Firmicutes & UP000037146\_1679170.fasta \\
Bacillus & Firmicutes & UP000037205\_1581037.fasta \\
Bacillus & Firmicutes & UP000037405\_189381.fasta \\
Bacillus & Firmicutes & UP000037558\_284581.fasta \\
Bacillus & Firmicutes & UP000037908\_1643452.fasta \\
Bacillus & Firmicutes & UP000040576\_35841.fasta \\
Bacillus & Firmicutes & UP000042335\_1476857.fasta \\
Bacillus & Firmicutes & UP000050398\_218284.fasta \\
Bacillus & Firmicutes & UP000050831\_1712029.fasta \\
Bacillus & Firmicutes & UP000051888\_157838.fasta \\
Bacillus & Firmicutes & UP000053625\_1402860.fasta \\
Bacillus & Firmicutes & UP000053681\_1414648.fasta \\
Bacillus & Firmicutes & UP000053881\_217031.fasta \\
Bacillus & Firmicutes & UP000060713\_1705566.fasta \\
Bacillus & Firmicutes & UP000067625\_1441095.fasta \\
Bacillus & Firmicutes & UP000074108\_1150625.fasta \\
Bacillus & Firmicutes & UP000075350\_1811976.fasta \\
Bacillus & Firmicutes & UP000075666\_46224.fasta \\
Bacillus & Firmicutes & UP000076935\_29332.fasta \\
Bacillus & Firmicutes & UP000078534\_152268.fasta \\
Bacillus & Firmicutes & UP000092623\_1743142.fasta \\
Bacillus & Firmicutes & UP000092657\_1850362.fasta \\
Bacillus & Firmicutes & UP000092673\_1743146.fasta \\
Bacillus & Firmicutes & UP000094463\_632773.fasta \\
Bacillus & Firmicutes & UP000095209\_1305675.fasta \\
Bacillus & Firmicutes & UP000181936\_1547283.fasta \\
