genus	id
Ectothiorhodospira	UP000005314_519989.fasta
Edwardsiella	UP000001485_634503.fasta
Eggerthella	UP000001377_479437.fasta
Eggerthia	UP000011758_999415.fasta
Ehrlichia	UP000000533_302409.fasta
Eikenella	UP000005837_546274.fasta
Elizabethkingia	UP000028933_1338011.fasta
Elstera	UP000033774_552518.fasta
Elusimicrobium	UP000001029_445932.fasta
Emticicia	UP000002875_929562.fasta
Endomicrobium	UP000035337_1408281.fasta
Endozoicomonas	UP000027997_305900.fasta
Enhydrobacter	UP000010294_553217.fasta
Enhygromyxa	UP000031599_215803.fasta
Ensifer	UP000051719_1736509.fasta
Enteractinococcus	UP000078292_1837282.fasta
Enterobacter	UP000000230_399742.fasta
Enterococcus	UP000001415_226185.fasta
Enterovibrio	UP000070529_294935.fasta
Eremococcus	UP000005990_908337.fasta
Erwinia	UP000001726_465817.fasta
Erysipelothrix	UP000007944_650150.fasta
Erythrobacter	UP000002995_237727.fasta
Escherichia	UP000000625_83333.fasta
Ethanoligenens	UP000001551_663278.fasta
Eubacterium	UP000001476_515620.fasta
Exiguobacterium	UP000000716_360911.fasta
Fabibacter	UP000095691_1889784.fasta
Facklamia	UP000004465_883111.fasta
Faecalibacterium	UP000004619_411483.fasta
Faecalibaculum	UP000069771_1702221.fasta
Faecalitalea	UP000008801_717960.fasta
Fermentimonas	UP000032417_1562970.fasta
Ferrimicrobium	UP000032336_1121877.fasta
Ferrimonas	UP000006683_550540.fasta
Ferriphaselus	UP000033070_1188319.fasta
Ferrithrix	UP000184295_1121881.fasta
Ferrovum	UP000050960_1356299.fasta
Fervidicella	UP000019681_1403537.fasta
Fervidicola	UP000070427_520764.fasta
Fervidobacterium	UP000002415_381764.fasta
Fibrella	UP000011058_1166018.fasta
Fibrisoma	UP000009309_1185876.fasta
Fibrobacter	UP000000517_59374.fasta
Fictibacillus	UP000004080_1196324.fasta
Filifactor	UP000007468_546269.fasta
Fimbriimonas	UP000027982_661478.fasta
Finegoldia	UP000001319_334413.fasta
Fischerella	UP000004344_741277.fasta
Flagellimonas	UP000050827_1547436.fasta
Flammeovirga	UP000075267_1775430.fasta
Flavihumibacter	UP000031400_1463156.fasta
Flavisolibacter	UP000077177_1492898.fasta
Flavobacterium	UP000005566_1086011.fasta
Flavonifractor	UP000004459_411475.fasta
Flexilinea	UP000053370_1678840.fasta
Flexistipes	UP000006621_717231.fasta
Fluviicola	UP000007463_755732.fasta
Formosa	UP000016160_1347342.fasta
Francisella	UP000001174_177416.fasta
Frankia	UP000000657_326424.fasta
Frateuria	UP000005234_767434.fasta
Fretibacterium	UP000008957_651822.fasta
Frigoribacterium	UP000051005_1736282.fasta
Frischella	UP000030901_1267021.fasta
Frondihabitans	UP000051456_1736329.fasta
Fructobacillus	UP000036087_1658766.fasta
Fulvimarina	UP000004310_314231.fasta
Fulvivirga	UP000011135_1237149.fasta
Fusibacter	UP000095197_1048380.fasta
Fusobacterium	UP000002521_190304.fasta
Galbibacter	UP000007364_555500.fasta
Gallaecimonas	UP000006755_745411.fasta
Gallibacterium	UP000006908_1005058.fasta
Gallionella	UP000001235_395494.fasta
Gardnerella	UP000001453_525284.fasta
Geitlerinema	UP000010383_1173025.fasta
Gelidibacter	UP000092705_49280.fasta
Gemella	UP000006004_546270.fasta
Geminocystis	UP000060542_1615909.fasta
Gemmata	UP000076098_1630693.fasta
Gemmatimonas	UP000002209_379066.fasta
Gemmatirosa	UP000019151_861299.fasta
Geoalkalibacter	UP000035036_483547.fasta
Geobacillus	UP000001172_235909.fasta
Geobacter	UP000000577_243231.fasta
Geodermatophilus	UP000001382_526225.fasta
Geofilum	UP000032900_1236989.fasta
Geomicrobium	UP000027014_1460635.fasta
Georgenia	UP000027879_1497974.fasta
Geosporobacter	UP000095743_1424294.fasta
Gilliamella	UP000019656_1196095.fasta
Gillisia	UP000003844_865937.fasta
Gimesia	UP000003087_344747.fasta
Glaciecola	UP000009282_1085623.fasta
Globicatella	UP000176615_1739315.fasta
Gloeobacter	UP000000557_251221.fasta
Gloeocapsa	UP000010476_1173026.fasta
Gloeomargarita	UP000180235_1188229.fasta
Gluconacetobacter	UP000001176_272568.fasta
Gluconobacter	UP000000223_1224746.fasta
Glutamicibacter	UP000006878_861360.fasta
Gordonia	UP000001219_526226.fasta
Gordonibacter	UP000008805_657308.fasta
Gracilibacillus	UP000012283_1308866.fasta
Gracilibacter	UP000053404_1734398.fasta
Gramella	UP000000755_411154.fasta
Granulibacter	UP000001963_391165.fasta
Granulicatella	UP000002939_626369.fasta
Granulicella	UP000000343_1198114.fasta
Grimontia	UP000033732_1581149.fasta
Gynuella	UP000032266_1445510.fasta
Haematobacter	UP000028826_195105.fasta
Haematospirillum	UP000076066_1549855.fasta
Haemophilus	UP000000579_71421.fasta
Hafnia	UP000029986_1453496.fasta
Hahella	UP000000238_349521.fasta
Halanaerobium	UP000006866_572479.fasta
Haliangium	UP000001880_502025.fasta
Halioglobus	UP000077184_1822214.fasta
Haliscomenobacter	UP000008461_760192.fasta
Halobacillus	UP000007397_866895.fasta
Halobacteriovorax	UP000008963_862908.fasta
Halobacteroides	UP000010880_748449.fasta
Halocynthiibacter	UP000070371_1579316.fasta
Halodesulfovibrio	UP000091979_1560234.fasta
Halomonas	UP000005756_1072583.fasta
Haloplasma	UP000005707_1033810.fasta
Halorhodospira	UP000000647_349124.fasta
Halotalea	UP000077875_376489.fasta
Halothece	UP000010481_65093.fasta
Halothermothrix	UP000000719_373903.fasta
Halothiobacillus	UP000009102_555778.fasta
Hamiltonella	UP000002334_572265.fasta
Hassallia	UP000031549_1304833.fasta
Helcococcus	UP000004191_883114.fasta
Helicobacter	UP000000429_85962.fasta
Heliobacterium	UP000008550_498761.fasta
Herbaspirillum	UP000000329_757424.fasta
Herminiimonas	UP000006697_204773.fasta
Herpetosiphon	UP000000787_316274.fasta
Hespellia	UP000184301_1121950.fasta
Hippea	UP000008139_760142.fasta
Hirschia	UP000002745_582402.fasta
Histophilus	UP000008543_228400.fasta
Hodgkinia	UP000002741_573234.fasta
Hoeflea	UP000004291_411684.fasta
