alignment model score count replica lf domain
NWSn natural 1100 2453928 0 100 0
NWSn natural 1110 535535 0 100 0
NWSn natural 1120 519496 0 100 0
NWSn natural 1130 552739 0 100 0
NWSn natural 1140 526355 0 100 0
NWSn natural 1150 548601 0 100 0
NWSn natural 1160 536877 0 100 0
NWSn natural 1170 522482 0 100 0
NWSn natural 1180 557800 0 100 0
NWSn natural 1190 441230 0 100 0
NWSn natural 1200 1362801 0 100 0
NWSn natural 1210 266374 0 100 0
NWSn natural 1220 257803 0 100 0
NWSn natural 1230 272633 0 100 0
NWSn natural 1240 259467 0 100 0
NWSn natural 1250 266819 0 100 0
NWSn natural 1260 261376 0 100 0
NWSn natural 1270 251212 0 100 0
NWSn natural 1280 267768 0 100 0
NWSn natural 1290 206608 0 100 0
NWSn natural 1300 670152 0 100 0
NWSn natural 1310 116267 0 100 0
NWSn natural 1320 112470 0 100 0
NWSn natural 1330 118320 0 100 0
NWSn natural 1340 112749 0 100 0
NWSn natural 1350 115416 0 100 0
NWSn natural 1360 112698 0 100 0
NWSn natural 1370 106801 0 100 0
NWSn natural 1380 114846 0 100 0
NWSn natural 1390 86135 0 100 0
NWSn natural 1400 296308 0 100 0
NWSn natural 1410 45670 0 100 0
NWSn natural 1420 43929 0 100 0
NWSn natural 1430 45914 0 100 0
NWSn natural 1440 43736 0 100 0
NWSn natural 1450 44430 0 100 0
NWSn natural 1460 43814 0 100 0
NWSn natural 1470 40969 0 100 0
NWSn natural 1480 44662 0 100 0
NWSn natural 1490 32414 0 100 0
NWSn natural 1500 119162 0 100 0
NWSn natural 1510 16167 0 100 0
NWSn natural 1520 15523 0 100 0
NWSn natural 1530 16485 0 100 0
NWSn natural 1540 15564 0 100 0
NWSn natural 1550 15568 0 100 0
NWSn natural 1560 15556 0 100 0
NWSn natural 1570 14336 0 100 0
NWSn natural 1580 15981 0 100 0
NWSn natural 1590 11421 0 100 0
NWSn natural 1600 43856 0 100 0
NWSn natural 1610 5235 0 100 0
NWSn natural 1620 5047 0 100 0
NWSn natural 1630 5296 0 100 0
NWSn natural 1640 5074 0 100 0
NWSn natural 1650 5295 0 100 0
NWSn natural 1660 5219 0 100 0
NWSn natural 1670 4698 0 100 0
NWSn natural 1680 5256 0 100 0
NWSn natural 1690 3754 0 100 0
NWSn natural 1700 15286 0 100 0
NWSn natural 1710 1637 0 100 0
NWSn natural 1720 1580 0 100 0
NWSn natural 1730 1631 0 100 0
NWSn natural 1740 1561 0 100 0
NWSn natural 1750 1604 0 100 0
NWSn natural 1760 1563 0 100 0
NWSn natural 1770 1479 0 100 0
NWSn natural 1780 1707 0 100 0
NWSn natural 1790 1159 0 100 0
NWSn natural 1800 5099 0 100 0
NWSn natural 1810 498 0 100 0
NWSn natural 1820 501 0 100 0
NWSn natural 1830 533 0 100 0
NWSn natural 1840 498 0 100 0
NWSn natural 1850 518 0 100 0
NWSn natural 1860 538 0 100 0
NWSn natural 1870 493 0 100 0
NWSn natural 1880 534 0 100 0
NWSn natural 1890 366 0 100 0
NWSn natural 1900 1632 0 100 0
NWSn natural 1910 156 0 100 0
NWSn natural 1920 184 0 100 0
NWSn natural 1930 184 0 100 0
NWSn natural 1940 188 0 100 0
NWSn natural 1950 200 0 100 0
NWSn natural 1960 195 0 100 0
NWSn natural 1970 175 0 100 0
NWSn natural 1980 190 0 100 0
NWSn natural 1990 166 0 100 0
NWSn natural 2000 519 0 100 0
NWSn natural 2010 102 0 100 0
NWSn natural 2020 96 0 100 0
NWSn natural 2030 99 0 100 0
NWSn natural 2040 110 0 100 0
NWSn natural 2050 87 0 100 0
NWSn natural 2060 108 0 100 0
NWSn natural 2070 93 0 100 0
NWSn natural 2080 126 0 100 0
NWSn natural 2090 117 0 100 0
